"Trends in death rates, 1930-2018",,,,,,,,,,,,,,,,,,,,,,
"Per 100,000, age adjusted to the 2000 US standard population.",,,,,,,,,,,,,,,,,,,,,,
YOU HAVE DOWNLOADED THE FULL DATA SET FOR THIS METRIC. THERE ARE MULTIPLE TABS OF DATA IN THIS FILE.,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Center for Health Statistics (NCHS), Centers for Disease Control and Prevention, 2020",,,,,,,,,,,,,,,,,,,,,,
"© Copyright American Cancer Society, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,All cancer types combined / Female,All cancer types combined / Male,Breast / Female,Breast / Male,Colorectum / Female,Colorectum / Male,Leukemia / Female,Leukemia / Male,Liver and intrahepatic bile duct / Female,Liver and intrahepatic bile duct / Male,Lung and bronchus / Female,Lung and bronchus / Male,Ovary / Female,Ovary / Male,Pancreas / Female,Pancreas / Male,Prostate / Female,Prostate / Male,Stomach / Female,Stomach / Male,Uterus (cervix and corpus combined) / Female,Uterus (cervix and corpus combined) / Male
1930,189.8,164.5,30.1,n/a,"27.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","23 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.1,3,"19.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","14.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","2.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.4 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,3.8,4.5,n/a,17.8,35.2,46.3,"36.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1931,189.4,165.5,30.6,n/a,"27.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","23.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.3,3.2,"18.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","2.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","4.8 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.1,4.7,n/a,18.4,33.8,45.7,"36.5 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1932,191.3,168.9,30.9,n/a,"28.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","25.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.5,3.2,"18.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","2.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.5,4.9,n/a,19.8,33.7,45.1,"36.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1933,188.3,169.8,30.8,n/a,"28.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","25.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.5,3.4,"17.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","13 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.7 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.3,5.1,n/a,20.7,32.5,44.2,"35.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1934,190.4,175,31.6,n/a,"29.7 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","27.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.9,3.6,"17 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12.8 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.4 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.4,5.4,n/a,22.7,31.6,44,"35.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1935,191.8,175.6,31.3,n/a,"30.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","27.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.8,3.8,"16.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12.2 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","5.9 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,4.7,5.6,n/a,22.7,31.4,43.7,"35.7 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1936,194.8,179.9,32,n/a,"31.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","28.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",2.9,3.9,"16.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","12 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.1,6,n/a,23.8,30.9,43.4,"36 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1937,191.1,181.2,31.6,n/a,"31.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","29.9 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.1,4.1,"15.4 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","3.8 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.2 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5,6.2,n/a,24.2,29.2,42.5,"35.6 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1938,191.7,184.7,32.4,n/a,"32.4 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","31.2 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.2,4.5,"14.9 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.3 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","9.9 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","6.7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.4,6.7,n/a,25.7,28.9,41.9,"34.4 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1939,192.7,187.3,32.5,n/a,"33 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.1 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.5,4.8,"14.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","11.1 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","10.5 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7.1 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.6,7,n/a,26.8,26.9,40.3,"34.3 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
1940,193.8,193.3,33.8,n/a,"33.5 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.","32.8 - Due to changes in disease classification over time, this trend also includes cancers of the anal canal and small intestine.",3.9,5.4,"13.6 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","10.5 - Due to changes in disease classification over time, this trend also includes cancers of the gallbladder and biliary tract.","4.1 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","11.6 - Due to changes in disease classification over time, this trend also includes cancers of the trachea and pleura.","7 - Due to changes in disease classification over time, this trend also includes cancers of the fallopian tube and broad ligament.",n/a,5.4,6.8,n/a,27.4,25.7,40.1,"34 - Due to changes in disease classification over time, this trend includes cancers of the uterine cervix and uterine corpus combined.",n/a
